mode,cost_level,budget_label,method,annual_cost,matching_index,peak_grid_kW,annual_grid_purchase_MWh,curtailment_rate_%,self_sufficiency_%,grid_volatility_kW,total_ele_overflow_MWh,total_heat_overflow_MWh,total_cool_overflow_MWh,budget_pct,method_plot
budget_increment,1,基准,Euclidean,455030.68344331736,2213.392521323904,2973.406965899177,19367.463342568783,0.0,22.664679789078345,518.5506535195434,0.0,0.0,0.0,0,IEMI
budget_increment,1,基准,Std,441229.920485377,506.5094367507029,2957.864227757664,19234.17539858299,0.0,23.196905700446948,506.0740621161266,0.0,0.0,0.0,0,Std
budget_increment,2,+10%,Euclidean,477206.98923414014,2149.162685104017,2895.8248692451803,18729.97035468015,0.0,25.21022349186278,467.4281832034422,0.0,0.0,0.0,10,IEMI
budget_increment,2,+10%,Std,486485.89593176055,470.9588302020017,2906.610357688812,18384.26270049028,0.0,26.590652702609084,462.2049765195625,0.0,0.0,0.0,10,Std
budget_increment,3,+30%,Euclidean,567221.4046453983,1929.924600661052,2754.1334403708424,16844.89326759854,0.0,32.73743743687659,371.9790900070906,0.0,0.0,0.0,30,IEMI
budget_increment,3,+30%,Std,573424.1495474756,421.86072723803306,2729.129181981554,16500.890449972092,0.0,34.11105914375896,412.9430535393768,0.0,0.0,0.0,30,Std
budget_increment,4,+50%,Euclidean,663319.5129356664,1729.0608304966906,2503.347216641483,15020.20800970828,0.0,40.02350356784651,343.24897396832534,0.0,0.0,0.0,50,IEMI
budget_increment,4,+50%,Std,637428.2447973235,417.5306136480155,2617.1983222371264,15373.509569764774,0.0,38.61275148355402,409.87041016273446,0.0,0.0,0.0,50,Std
budget_increment,5,+100%,Euclidean,868655.5559226787,1248.5103427744318,1919.5792866981967,10781.030378137008,0.0788385187181882,56.95076728688853,352.5807996989314,1.1504620276592985,0.0,0.0,100,IEMI
budget_increment,5,+100%,Std,637428.2447973235,417.5306136480155,2617.1983222371264,15373.509569764774,0.0,38.61275148355402,409.87041016273446,0.0,0.0,0.0,100,Std
